번호,학년/가진급학년,Curriculum,교과영역구분,CourseId,Name,Professor,수업캠퍼스,LectureTime,LectureRoom,Credit,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
60,"3,4학년",전공,전문,CSE4083-01,양자컴퓨팅,김동우,서울,"월9.0-10.0/17:00-18:25,목9.0-10.0/17:00-18:25","401-5145(신공학관(기숙사) 5145 강의실),401-5145(신공학관(기숙사) 5145 강의실)",3,3,0,,,,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,,
61,3학년,전공,전문,MME4011-01,멀티미디어데이타베이스,,서울,"수7.0-8.0/15:00-16:30,금7.0-8.0/15:00-16:30","401-4147(신공학관(기숙사) 4147 강의실_스마트),401-4147(신공학관(기숙사) 4147 강의실_스마트)",3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,,Multimedia Database Processing,
62,4학년,전공,전문,MME4117-01,모바일웹프로그래밍(캡스톤디자인),유한하,서울,금5.5-8.0/13:30-16:30,401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,,Mobile Web Programming,
63,3학년,전공,전문,MME4119-01,디지털신호처리,이철,서울,"수1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30","401-4147(신공학관(기숙사) 4147 강의실_스마트),401-4147(신공학관(기숙사) 4147 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,영어강의,Digital Signal Processing,
64,4학년,전공,전문,MME4122-01,멀티미디어종합설계(캡스톤디자인),조성인,서울,화8.5-11.0/16:30-19:15,401-4147(신공학관(기숙사) 4147 강의실_스마트),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,팀티칭,Multimedia Capstone Design,
65,4학년,전공,전문,MME4124-01,GPU병렬프로그래밍(캡스톤디자인),윤승현,서울,화5.5-8.0/13:30-16:30,401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,,GPU Parallel Programming(Capstone Design),
66,3학년,전공,전문,MME4125-01,게임엔진프로그래밍(캡스톤디자인),조경은,서울,"월2.0-3.0/10:00-11:30,월3.5-4.5/11:30-13:00,화2.0-3.0/10:00-11:30,화3.5-4.5/11:30-13:00","401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,전반기,집중이수제 강좌(3/2~4/26),Game Engine Programming,
67,3학년,전공,전문,MME4127-01,게임인공지능,조경은,서울,"월2.0-3.0/10:00-11:30,월3.5-4.5/11:30-13:00,화2.0-3.0/10:00-11:30,화3.5-4.5/11:30-13:00","401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1),401-4137(신공학관(기숙사) 4137 멀티미디어공학과 학부실습실1)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,후반기,집중이수제 강좌(4/27~6/21),Game Artificial Intelligence,
68,4학년,전공,전문,MME4128-01,가상현실,윤승현,서울,"월2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","401-4147(신공학관(기숙사) 4147 강의실_스마트),401-4147(신공학관(기숙사) 4147 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,,Virtual Reality,
69,4학년,전공,전문,MME4129-01,컴퓨터비전입문,조성인,서울,"월7.5-8.5/15:30-17:00,수2.5-3.5/10:30-12:00","401-4147(신공학관(기숙사) 4147 강의실_스마트),401-4147(신공학관(기숙사) 4147 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,영어강의,Introduction  to Computer Vision,
