번호,학년/가진급학년,Curriculum,교과영역구분,CourseId,Name,Professor,수업캠퍼스,LectureTime,LectureRoom,Credit,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
1,1학년,전공,기초,AIC2003-01,데이터사이언스개론,이우진,서울,"수5.0-6.0/13:00-14:30,목2.5-3.5/10:30-12:00","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 48명,Introduction to Data Science,
2,2학년,전공,기초,AIC2010-01,수치해석및최적화,이우진,서울,"화7.0-8.0/15:00-16:30,목7.0-8.0/15:00-16:30","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Numerical analysis and optimization,
3,1학년,전공,기초,AIC2011-01,AI콘텐츠융합개론,조경은,서울,금2.0-4.5/10:00-13:00,407-207(정보문화관P P402 컴퓨터실습실1),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"팀티칭, 수강정원 40명",Introduction to AI Contents Convergence,
4,2학년,전공,기초,AID2001-01,통계이론1,김광일,서울,"월9.0-10.0/17:00-18:25,수9.0-10.0/17:00-18:25","407-227(정보문화관P P405 강의실),407-227(정보문화관P P405 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 데이터사이언스전공,,수강정원 30명,Theory of Statistics 1,
5,2학년,전공,기초,AIE2001-01,메타버스프로그래밍,황주선,서울,금9.0-12.5/17:00-20:30,407-207(정보문화관P P402 컴퓨터실습실1),3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"영어강의, 수강정원 30명",Metaverse Programming,
6,1학년,전공,기초,AIE2006-01,메타버스콘텐츠디자인,이영숙,서울,금6.0-8.5/14:00-17:00,407-207(정보문화관P P402 컴퓨터실습실1),3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"팀티칭, 수강정원 20명",Metaverse Contetns Design,
7,2학년,전공,기초,AIE2009-01,기초융합프로젝트1,성연식,서울,목9.0-12.5/17:00-20:30,407-224(정보문화관P P403 컴퓨터실습실2),3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 엔터테인먼트테크놀로지전공,,"팀티칭 영어강의, 수강정원 40명",BasicConvergenceProject1,
8,1학년,전공,기초,ASW2004-01,어드벤처디자인,신연순,서울,"화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","405-325(원흥관 1,3 E325 원흥 PBL),405-325(원흥관 1,3 E325 원흥 PBL)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Adventure Design ,
9,1학년,전공,기초,ASW2004-02,어드벤처디자인,임상수,서울,"월2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00","407-224(정보문화관P P403 컴퓨터실습실2),407-224(정보문화관P P403 컴퓨터실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Adventure Design ,
10,1학년,전공,기초,ASW2004-03,어드벤처디자인,조성인,서울,화4.5-8.0/12:30-16:30,401-4147(신공학관(기숙사) 4147 강의실_스마트),3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Adventure Design ,
11,2학년,전공,기초,ASW2005-01,자료구조,,서울,"수2.0-3.5/10:00-12:00,금2.0-3.5/10:00-12:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,MME전공 전용,Data Structure,
12,2학년,전공,기초,ASW2005-02,자료구조,윤인식,서울,"화2.0-3.5/10:00-12:00,목2.0-3.5/10:00-12:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 40명, AI전공 및 DS전공 및 AI융합학부 전용",Data Structure,
13,"1,2학년",전공,기초,ASW2007-01,프로그래밍기초,박재철,서울,"수9.0-10.5/17:00-18:50,목9.0-10.5/17:00-18:50","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
14,"1,2학년",전공,기초,ASW2007-02,프로그래밍기초,한인,서울,"월6.0-7.5/14:00-16:00,수7.0-8.5/15:00-17:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Programming Fundamentals,
15,"1,2학년",전공,기초,ASW2007-03,프로그래밍기초,김시명,서울,"수9.0-10.5/17:00-18:50,목2.0-3.5/10:00-12:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
16,"1,2학년",전공,기초,ASW2007-04,프로그래밍기초,강태선,서울,"화7.0-8.5/15:00-17:00,금6.0-7.5/14:00-16:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Programming Fundamentals,
17,"1,2학년",전공,기초,ASW2008-01,심화프로그래밍,조성인,서울,"화2.0-3.5/10:00-12:00,수7.0-8.5/15:00-17:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,MME전공 전용,Advanced Programming,
18,"1,2학년",전공,기초,ASW2008-02,심화프로그래밍,윤성림,서울,"화2.0-3.5/10:00-12:00,수2.0-3.5/10:00-12:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
19,"1,2학년",전공,기초,ASW2008-03,심화프로그래밍,윤성림,서울,"화5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 30명,Advanced Programming,
20,"1,2학년",전공,기초,ASW2009-01,객체지향프로그래밍,윤인식,서울,"화5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 40명, AI전공 및 AI융합학부 전용",Object-Oriented Programming,
21,"1,2학년",전공,기초,ASW2009-03,객체지향프로그래밍,박재철,서울,"수7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
22,"1,2학년",전공,기초,ASW2009-04,객체지향프로그래밍,석문기,서울,"화8.0-9.5/16:00-18:00,금8.0-9.5/16:00-18:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Object-Oriented Programming,
23,"1,2학년",전공,기초,ASW2010-01,융합기초프로그래밍,성연식,서울,"월2.0-3.5/10:00-12:00,목7.0-8.5/15:00-17:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI융합대,,"영어강의, 수강정원 50명, 1학년만 수강가능",Convergence basic programming,
24,"1,2학년",전공,기초,ASW2010-02,융합기초프로그래밍,임상수,서울,"화7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Convergence basic programming,
25,"1,2학년",전공,기초,ASW2010-03,융합기초프로그래밍,장혜령,서울,"월7.0-8.5/15:00-17:00,수7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Convergence basic programming,
26,2학년,전공,기초,CSE2017-01,자료구조와실습,최은만,서울,"화2.0-3.5/10:00-12:00,목5.0-6.5/13:00-15:00","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의, 에듀테크러닝,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,"수강정원 40명, 혁신교수법(에듀테크러닝)(에듀테크러닝 과목으로 Zybooks 제한)",Data Structures and Practice,
27,2학년,전공,기초,CSE2017-02,자료구조와실습,김준태,서울,"화5.0-6.5/13:00-15:00,목2.0-3.5/10:00-12:00","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,수강정원 50명,Data Structures and Practice,
28,2학년,전공,기초,CSE2017-03,자료구조와실습,김시명,서울,"수7.0-8.5/15:00-17:00,목5.0-6.5/13:00-15:00","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Data Structures and Practice,
29,"1,2학년",전공,기초,CSE2018-01,컴퓨터구성,장태무,서울,"월2.0-3.5/10:00-12:00,수0.0-1.5/08:00-10:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6144(신공학관(기숙사) 6144 강의실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Computer Organization,
30,"1,2학년",전공,기초,CSE2018-02,컴퓨터구성,장태무,서울,"월0.0-1.5/08:00-10:00,수2.0-3.5/10:00-12:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6144(신공학관(기숙사) 6144 강의실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Computer Organization,
31,"1,2학년",전공,기초,CSE2018-03,컴퓨터구성,김경자,서울,"월8.0-9.5/16:00-18:00,수5.0-6.5/13:00-15:00","401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4)),401-6144(신공학관(기숙사) 6144 강의실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Computer Organization,
32,1학년,전공,기초,CSE2025-01,계산적사고법,손윤식,서울,"월9.0-10.0/17:00-18:25,목9.0-10.0/17:00-18:25","401-6144(신공학관(기숙사) 6144 강의실),401-6144(신공학관(기숙사) 6144 강의실)",3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Computational Thinking,
33,1학년,전공,기초,CSE2025-02,계산적사고법,김동우,서울,"월7.5-8.5/15:30-17:00,목7.5-8.5/15:30-17:00","401-6144(신공학관(기숙사) 6144 강의실),401-6144(신공학관(기숙사) 6144 강의실)",3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 컴퓨터공학전공,,,Computational Thinking,
34,2학년,전공,기초,MME2052-01,멀티미디어고급수학,이철,서울,"수5.5-6.5/13:30-15:00,목5.5-6.5/13:30-15:00","401-4147(신공학관(기숙사) 4147 강의실_스마트),401-4147(신공학관(기숙사) 4147 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI소프트웨어융합학부 멀티미디어소프트웨어공학전공,,,Multimedia Advanced Mathematics,
35,3학년,전공,전문,ASW4009-01,운영체제,김경아,서울,금1.5-4.0/09:30-12:30,401-4147(신공학관(기숙사) 4147 강의실_스마트),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,MME전공 전용,Operating System,
36,3학년,전공,전문,ASW4009-02,운영체제,정준호,서울,"월7.5-8.5/15:30-17:00,수7.5-8.5/15:30-17:00","401-5145(신공학관(기숙사) 5145 강의실),401-5145(신공학관(기숙사) 5145 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Operating System,
37,3학년,전공,전문,ASW4009-03,운영체제,,서울,"화7.0-8.0/15:00-16:30,목5.5-6.5/13:30-15:00","401-6144(신공학관(기숙사) 6144 강의실),401-6144(신공학관(기숙사) 6144 강의실)",3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Operating System,
38,4학년,전공,전문,ASW4012-01,머신러닝,성연식,서울,"월5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 20명, MME전공 전용",Machine Learning,
39,4학년,전공,전문,ASW4012-02,머신러닝,김준태,서울,"수7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 50명,Machine Learning,
