번호,학년/가진급학년,Curriculum,교과영역구분,CourseId,Name,Professor,수업캠퍼스,LectureTime,LectureRoom,Credit,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
20,"1,2학년",전공,기초,ASW2010-01,융합기초프로그래밍,성연식,서울,"월2.0-3.5/10:00-12:00,목7.0-8.5/15:00-17:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,외국어강의,,영어,,전공,,AI융합대학,AI융합대학 AI융합대,,"영어강의, 수강정원 50명, 1학년만 수강가능",Convergence basic programming,
21,"1,2학년",전공,기초,ASW2010-02,융합기초프로그래밍,임상수,서울,"화7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Convergence basic programming,
22,"1,2학년",전공,기초,ASW2010-03,융합기초프로그래밍,장혜령,서울,"월7.0-8.5/15:00-17:00,수7.0-8.5/15:00-17:00","407-207(정보문화관P P402 컴퓨터실습실1),407-207(정보문화관P P402 컴퓨터실습실1)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 40명,Convergence basic programming,
23,3학년,전공,전문,ASW4009-01,운영체제,김경아,서울,금1.5-4.0/09:30-12:30,401-4147(신공학관(기숙사) 4147 강의실_스마트),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,MME전공 전용,Operating System,
24,3학년,전공,전문,ASW4009-02,운영체제,정준호,서울,"월7.5-8.5/15:30-17:00,수7.5-8.5/15:30-17:00","401-5145(신공학관(기숙사) 5145 강의실),401-5145(신공학관(기숙사) 5145 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Operating System,
25,3학년,전공,전문,ASW4009-03,운영체제,,서울,"화7.0-8.0/15:00-16:30,목5.5-6.5/13:30-15:00","401-6144(신공학관(기숙사) 6144 강의실),401-6144(신공학관(기숙사) 6144 강의실)",3,3,0,,,더블클릭,이론,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Operating System,
26,4학년,전공,전문,ASW4012-01,머신러닝,성연식,서울,"월5.0-6.5/13:00-15:00,목5.0-6.5/13:00-15:00","401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실),401-4105(신공학관(기숙사) 4105 멀티미디어공학과 실습실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,"수강정원 20명, MME전공 전용",Machine Learning,
27,4학년,전공,전문,ASW4012-02,머신러닝,김준태,서울,"수7.0-8.5/15:00-17:00,목7.0-8.5/15:00-17:00","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 50명,Machine Learning,
28,4학년,전공,전문,ASW4012-03,머신러닝,김준태,서울,"수9.0-10.5/17:00-18:50,목9.0-10.5/17:00-18:50","401-6144(신공학관(기숙사) 6144 강의실),401-6119(신공학관(기숙사) 6119 컴퓨터공학 실습실1(ESC4))",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 50명,Machine Learning,
29,3학년,전공,전문,ASW4014-01,공개SW프로젝트,손윤식,서울,"화2.0-3.5/10:00-12:00,목2.0-3.5/10:00-12:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Open Source Software Project,
30,3학년,전공,전문,ASW4014-02,공개SW프로젝트,정준호,서울,"화2.5-4.0/10:30-12:30,금5.5-7.0/13:30-15:30","401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3),401-3182(신공학관(기숙사) 3182 컴퓨터공학 실습실3)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 32명,Open Source Software Project,
31,4학년,전공,전문,ASW4016-01,컴퓨터보안,정준호,서울,"월5.0-6.5/13:00-15:00,수5.0-6.5/13:00-15:00","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,수강정원 32명,COmputer Secutiry,
32,4학년,전공,전문,ASW4016-02,컴퓨터보안,김영부,서울,"수2.0-3.5/10:00-12:00,금5.5-7.0/13:30-15:30","401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2),401-3183(신공학관(기숙사) 3183 컴퓨터공학 실습실2)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,COmputer Secutiry,
33,"3,4학년",전공,전문,DAI3001-01,개별연구(CS 제목과 이미지 쌍들로부터 이를 요약하는 제목과 이미지 생성),정진우,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
34,"3,4학년",전공,전문,DAI3002-01,개별연구(CS스마트미러 환경에서 장애인/노인 친화적 유니버셜 UI/UX 설계),정진우,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
35,"3,4학년",전공,전문,DAI3003-01,개별연구(CS VR 기기를 활용한 스마트 시스템 설계),정진우,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
36,"3,4학년",전공,전문,DAI3004-01,개별연구(CS 장애인/노인을 위한 제스처인식 시스템 설계),정진우,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
37,"3,4학년",전공,전문,DAI3005-01,개별연구(CS LiDAR센서를 활용한 주변 지도 생성 연구),정진우,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
38,"3,4학년",전공,전문,DAI3006-01,개별연구(CS 여러 각도에서 촬영된 얼굴 영상의 감정 인식 연구),정진우,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
39,"3,4학년",전공,전문,DAI3007-01,개별연구(CS 단계별 감정 인식 연구),정진우,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
40,"3,4학년",전공,전문,DAI3008-01,개별연구(CS딥러닝을이용한 CCTV영상에서의 이상행위자분석및예측기법연구),손윤식,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
41,"3,4학년",전공,전문,DAI3009-01,개별연구(CS AI모델 보안 강화 방법 연구),손윤식,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
42,"3,4학년",전공,전문,DAI3010-01,개별연구(CS 블록체인기반 스마트 컨트랙트 보안약점 분석 도구),손윤식,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
43,"3,4학년",전공,전문,DAI3011-01,개별연구(CS 프로그램 합성기법연구),손윤식,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
44,"3,4학년",전공,전문,DAI3012-01,개별연구(CS 감성챗봇연구),손윤식,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
45,"3,4학년",전공,전문,DAI3013-01,개별연구(CS 경찰청 SNS의 분석을 통한 시민 행동과 정서 빅데이터 연구),정준호,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
46,"3,4학년",전공,전문,DAI3014-01,개별연구(CS 특정 사무 프로세스 자동화를 위한 UI/UX 개선 연구),정준호,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
47,"3,4학년",전공,전문,DAI3015-01,개별연구(CS스마트폰 기반 물체추적 및 점적통 내 수액낙하속도 측정 연구),정준호,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
48,"3,4학년",전공,전문,DAI3016-01,개별연구(CS지능형 융합보안서비스 지원 시뮬레이터 인터페이스 연동 연구),정준호,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
49,"3,4학년",전공,전문,DAI3017-01,개별연구(CS 게임엔진을 활용한 딥러닝 분석용 데이터 생성 연구),정준호,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
50,"3,4학년",전공,전문,DAI3018-01,개별연구(CS 메타버스내 범죄자 회피 및 증거 기록을 위한 방안 연구),정준호,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
51,"3,4학년",전공,전문,DAI3019-01,개별연구(CS딥러닝모델을적용한 에지노드에서의화재감지및예측성능 분석 2),신연순,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
52,"3,4학년",전공,전문,DAI3020-01,개별연구(CS 머신러닝 기반 실시간 활동 추적을 통한 노인 케어 2),신연순,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
53,"3,4학년",전공,전문,DAI3021-01,개별연구(CS딥러닝모델을적용한 에지노드에서의화재감지및예측성능 분석) ,신연순,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
54,"3,4학년",전공,전문,DAI3022-01,개별연구(CS 머신러닝 기반 실시간 활동 추적을 통한 노인 케어),신연순,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
55,"3,4학년",전공,전문,DAI3023-01,개별연구(CS IoT 기반 스마트 노인 돌봄 시스템 구현),신연순,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
56,"3,4학년",전공,전문,DAI3024-01,개별연구(CS 딥러닝에 의한 항공 스케줄링 조합 최적화 3),김동호,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
57,"3,4학년",전공,전문,DAI3025-01,개별연구(CS 노인의 인지 기능 향상을 위한 케어챗봇),김지희,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
58,"3,4학년",전공,전문,DAI3026-01,개별연구(CS 머신러닝 기반 암 조기진단 플랫폼 개발),김지희,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
59,"3,4학년",전공,전문,DAI3027-01,개별연구(CS 프로그래밍 교육을 위한 인공지능 튜터링),김지희,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
60,"3,4학년",전공,전문,DAI3028-01,개별연구(CS 자연어처리 기반 인과관계 추론),김지희,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
61,"3,4학년",전공,전문,DAI3029-01,개별연구(CS 휴대폰 영상 기반 두피진단),김지희,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
62,"3,4학년",전공,전문,DAI3030-01,개별연구(CS ChatGPT 기반 인공지능 응용 개발),김지희,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
63,"3,4학년",전공,전문,DAI3031-01,개별연구(CS그래프 신경망 기반 추천 기법 연구),장혜령,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independent Capstone Design,
64,"3,4학년",전공,전문,DAI3032-01,개별연구(MME 딥러닝 기반 Computational Camera 기술 연구),이철,,,,1,1,0,,,,,,,,,전공,,AI융합대학,AI융합대학 AI융합대,,,Independant Capstone Design,
