번호,학년/가진급학년,교과과정,교과영역구분,학수강좌번호,교과목명,교원명,수업캠퍼스,요일/시간,강의실,학점,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
196,전체학년,일반교양,인문,EGC2067-01,삶과죽음의철학,황인욱,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","102-361(학술/문화관 K361 361 강의실),102-361(학술/문화관 K361 361 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 철학과,,,Philosophy of Life and Death,
197,전체학년,일반교양,인문,EGC2067-02,삶과죽음의철학,김명식,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","407-B101(정보문화관P P201 강의실),407-B101(정보문화관P P201 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 철학과,,,Philosophy of Life and Death,
198,전체학년,일반교양,인문,EGC2071-01,"한미관계,협력과갈등의이중주",박광명,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","102-237(학술/문화관 K237 237 강의실),102-237(학술/문화관 K237 237 강의실)",3,3,0,,,더블클릭,이론,일반강의,,,,일교,,사범대학,사범대학 역사교육과,,,"Korean-American Relations,Duet of Cooperation and Conflict",
199,전체학년,일반교양,인문,EGC2075-01,만해의생애와사상,김광식,서울,화6.0-7.5/14:00-16:00,501-413(학림관 J414 강의실),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,불교대학,불교대학 불교학부,,,Manhae‘s life and idea,
200,전체학년,일반교양,인문,EGC2084-01,오리엔탈리즘과불교,김진영,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,불교대학,불교대학 불교학부,,,Orientalism and Buddhism,
201,전체학년,일반교양,인문,EGC2086-01,대학과청년문화,조은애,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","102-361(학술/문화관 K361 361 강의실),102-361(학술/문화관 K361 361 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 국어국문문예창작학부,,,University and Youth Culture,
202,전체학년,일반교양,인문,EGC2095-01,글로벌에콜로지컬히스토리,양홍석,서울,"월6.0-7.0/14:00-15:30,수6.0-7.0/14:00-15:30","201-226(사회과학/경영관 M216 강의실),201-226(사회과학/경영관 M216 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 사학과,,,Global Ecological History,
203,전체학년,일반교양,인문,EGC2108-01,일본한자음쉽게이해하기,이경철,서울,,,1,1,0,,더블클릭,더블클릭,사이버,사이버강의,MOOC,,,일교,,문과대학,문과대학 일본학과,,"P/F, 사이버강의(D-MOOC) ",Easy Understanding of Sino-Japanese,
204,전체학년,일반교양,인문,EGC2110-01,동아시아의역사와문화,이진선,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","102-356(학술/문화관 K356 356 강의실),102-356(학술/문화관 K356 356 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 사학과,,,History and Culture of the East Asia,
205,전체학년,일반교양,인문,EGC2111-01,인간과로봇의공존시대,허남결(월인(月印)),서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","102-243(학술/문화관 K243 243 강의실_스마트),102-243(학술/문화관 K243 243 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,불교대학,불교대학 불교학부,,,The era in coexistence of human and robot,
206,전체학년,일반교양,인문,EGC2112-01,한국문화낯설게보기,김문정,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","102-342(학술/문화관 K342 342 강의실),102-342(학술/문화관 K342 342 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,Defamilarization of Korean Culture,
207,전체학년,일반교양,인문,EGC2113-01,현대페미니즘의이해,이은정,서울,화2.5-5.0/10:30-13:30,102-315(학술/문화관 K315 315 강의실),3,3,0,,더블클릭,더블클릭,이론,일반강의, 엑티브러닝,,,일교,,행정및부속기관,다르마칼리지,,혁신교수법(액티브러닝),Understanding Contemporary Feminism,
208,전체학년,일반교양,인문,EGC2116-01,불교와스토리텔링,우제선,서울,"화1.0-2.0/09:00-10:30,목2.5-3.5/10:30-12:00","102-342(학술/문화관 K342 342 강의실),102-342(학술/문화관 K342 342 강의실)",3,3,0,,더블클릭,,이론,일반강의,,,,일교,,불교대학,불교대학 불교학부,,,Buddhism and Story-telling,
209,전체학년,일반교양,인문,EGC2118-01,이야기와 노래,김일환,서울,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30","102-315(학술/문화관 K315 315 강의실),102-315(학술/문화관 K315 315 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의, 플립드러닝,,,일교,,문과대학,문과대학 국어국문문예창작학부,,혁신교수법:플립드 러닝,Stories and songs,
210,전체학년,일반교양,인문,EGC2119-01,지도 위의 문학,양승목,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","102-356(학술/문화관 K356 356 강의실),102-356(학술/문화관 K356 356 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 국어국문문예창작학부,,,Korean Literature on the Map,
211,전체학년,일반교양,인문,EGC2121-01,시와예술적상상력,박옥순,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","201-222(사회과학/경영관 M215 강의실),201-117(사회과학/경영관 M117 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 국어국문문예창작학부,,,Poetry and Artical Imagination,
212,전체학년,일반교양,인문,EGC2123-01,인간에 관하여,황인욱,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","201-222(사회과학/경영관 M215 강의실),201-222(사회과학/경영관 M215 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 철학과,,,On Human Nature,
213,전체학년,일반교양,인문,EGC2123-02,인간에 관하여,박영식,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","201-436(사회과학/경영관 M436 강의실),201-436(사회과학/경영관 M436 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 철학과,,,On Human Nature,
214,전체학년,일반교양,인문,EGC2125-01,교유와 치유의 한시감상,박성호,서울,"월7.0-8.0/15:00-16:30,수7.5-8.5/15:30-17:00","207-313(혜화관 313 313 강의실_스마트),207-313(혜화관 313 313 강의실_스마트)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,문과대학,문과대학 국어국문문예창작학부,,,Appreciation of poems[Han-Si(漢詩)] of friendship and healing,
215,전체학년,일반교양,인문,EGC8013-01,시사한국어1,홍진선,서울,화8.0-9.5/16:00-18:00,201-222(사회과학/경영관 M215 강의실),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,,국제처 글로벌인재지원팀,,외국인 전용,Current Korean 1,
216,전체학년,일반교양,인문,EGC8013-02,시사한국어1,백수혜,서울,수6.0-7.5/14:00-16:00,102-443(학술/문화관 K443 443 강의실),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,,국제처 글로벌인재지원팀,,외국인 전용,Current Korean 1,
217,전체학년,일반교양,인문,EGC8014-01,시사한국어2,홍진선,서울,목8.0-9.5/16:00-18:00,201-226(사회과학/경영관 M216 강의실),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,,국제처 글로벌인재지원팀,,외국인 전용,Current Korean 2,
218,전체학년,일반교양,인문,EGC8014-02,시사한국어2,권미경,서울,금6.0-7.5/14:00-16:00,201-222(사회과학/경영관 M215 강의실),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,,국제처 글로벌인재지원팀,,외국인 전용,Current Korean 2,
219,전체학년,일반교양,인문,EGC9006-01,인도불교이야기,황순일(보성),서울,,,1,1,0,,더블클릭,더블클릭,사이버,사이버강의,MOOC,,,일교,,불교대학,불교대학 불교학부,,"P/F, 사이버강의(D-MOOC) ",Story of Early Indian Buddhism,
220,전체학년,일반교양,인문,EGC9008-01,중국문자의이해,박석홍,서울,,,1,1,0,,더블클릭,더블클릭,사이버,사이버강의,MOOC,,,일교,,문과대학,문과대학 중어중문학과,,"P/F, 사이버강의(D-MOOC) ",Chinese Graphonomy,
221,전체학년,일반교양,인문,EGC9012-01,그리스문학과신화이야기,손윤락,서울,,,3,3,0,,더블클릭,더블클릭,사이버,사이버강의,MOOC,,,일교,,행정및부속기관,다르마칼리지,,사이버강의(D-MOOC),Greek literature and mythology,
222,전체학년,일반교양,인문,EGC9013-01,서구문학에나타난문제적인간읽기,정윤길,서울,,,3,3,0,,더블클릭,더블클릭,사이버,사이버강의,MOOC,,,일교,,행정및부속기관,다르마칼리지,,사이버강의(D-MOOC) ,The Problematic Human in Western Literature,
223,전체학년,일반교양,인문,GCR2002-01,행복학의인문학적문제들,김진선,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","102-315(학술/문화관 K315 315 강의실),102-315(학술/문화관 K315 315 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,불교대학,불교대학 불교학부,,핵심교양 대체인정 교과목,Happiness: Do We live to be Happy?,
224,전체학년,일반교양,인문,GCR2004-01,현대요가와자기이해,양영순,서울,"화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30","207-512(혜화관 512 512 강의실),303-208(법학/만해관 B262 좌선실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,불교대학,불교대학 불교학부,,핵심교양 대체인정(불교관련) 교과목,Modern Yoga and Self-development,
225,전체학년,일반교양,사회,EGC3028-01,인터넷정책과법,심민석,서울,금5.5-8.0/13:30-16:30,303-203(법학/만해관 B260 강의실),3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,법과대학,법과대학 법학과,,법학과 수강제한,Internet Policy and Law,
226,전체학년,일반교양,사회,EGC3038-01,종교와법,고기복,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","202-387(사회과학/경영관 L305 강의실),202-387(사회과학/경영관 L305 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,Religion and Law,
227,전체학년,일반교양,사회,EGC3038-02,종교와법,고기복,서울,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30","202-387(사회과학/경영관 L305 강의실),202-387(사회과학/경영관 L305 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,Religion and Law,
228,전체학년,일반교양,사회,EGC3039-01,인권의이해,고기복,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","202-387(사회과학/경영관 L305 강의실),202-387(사회과학/경영관 L305 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,The Knowledge of Human Rights,
229,전체학년,일반교양,사회,EGC3039-02,인권의이해,고기복,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","202-387(사회과학/경영관 L305 강의실),202-387(사회과학/경영관 L305 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,The Knowledge of Human Rights,
230,전체학년,일반교양,사회,EGC3041-01,영문학속의AI,노헌균,서울,,,3,3,0,,더블클릭,더블클릭,사이버,사이버강의,MOOC,,,일교,,문과대학,문과대학 영어영문학부,,사이버강의(D-MOOC),Artificial Intelligence within English Literature,
231,전체학년,일반교양,사회,EGC3045-01,광고홍보의이해,안정용,서울,"화2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","201-122(사회과학/경영관 M122 강의실),201-122(사회과학/경영관 M122 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,사회과학대학,사회과학대학 광고홍보학과,,수강인원제한: 66명,Understanding Advertising and Public Relations,
232,전체학년,일반교양,사회,EGC3046-01,오페라속범죄학,조윤오,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","202-571(사회과학/경영관 L501 강의실),202-571(사회과학/경영관 L501 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,경찰사법대학,경찰사법대학 경찰행정학부,,,Criminology and Opera,
233,전체학년,일반교양,사회,EGC3050-01,글로벌시대의대중문화론,남근우,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","102-443(학술/문화관 K443 443 강의실),102-443(학술/문화관 K443 443 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,Popular Culture in the Global Era,
234,전체학년,일반교양,사회,EGC3051-01,대학생을위한실용금융,박한구,서울,화2.0-3.5/10:00-12:00,501-109(학림관 J111 강의실_스마트),2,2,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,Practical Finance for college students,
235,전체학년,일반교양,사회,EGC3054-01,자본주의의역사와전망,이상호,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","102-344(학술/문화관 K344 344 강의실),102-344(학술/문화관 K344 344 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,History and Prospect of Capitalism  ,
236,전체학년,일반교양,사회,EGC3057-01,연애학개론,장재숙,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","102-342(학술/문화관 K342 342 강의실),102-342(학술/문화관 K342 342 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,An introduction to love,
237,전체학년,일반교양,사회,EGC3057-02,연애학개론,장재숙,서울,"화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30","102-342(학술/문화관 K342 342 강의실),102-342(학술/문화관 K342 342 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,An introduction to love,
238,전체학년,일반교양,사회,EGC3059-01,기업운영의기초:수요와공급의균형,정욱,서울,,,1,1,0,,더블클릭,더블클릭,사이버,사이버강의,MOOC,,,일교,,경영대학,경영대학 경영학과,,"P/F, 사이버강의(D-MOOC) ",Basic of Corporate Operations : Balance of Supply and Demand,
239,전체학년,일반교양,사회,EGC3061-01,소비인사이트,조소연,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","501-316(학림관 J315 강의실),501-316(학림관 J315 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,사범대학,사범대학 가정교육과 ,,,Consumption Insight,
240,전체학년,일반교양,사회,EGC3063-01,"나의 생각 : 나와 타인, 사회에 대한 인지",정지아,서울,"수8.0-9.0/16:00-17:30,금8.0-9.0/16:00-17:30","408-329(정보문화관Q Q302 강의실),408-329(정보문화관Q Q302 강의실)",3,3,0,,더블클릭,,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,"My mind : cognition of society, self, and others",
241,전체학년,일반교양,사회,EGC3064-01,자녀와 소통하는 훈련중심 예비부모교육,이현,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","501-231(학림관 J201 강의실),501-231(학림관 J201 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,사범대학,사범대학 가정교육과 ,,,Preparental Education,
242,전체학년,일반교양,사회,EGC3065-01,포스트 코로나 시대와 일본의 서브컬처,신우진,서울,"월4.0-5.0/12:00-13:30,수4.0-5.0/12:00-13:30","202-174(사회과학/경영관 L101 강의실),202-174(사회과학/경영관 L101 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의, 엑티브러닝,,,일교,,문과대학,문과대학 일본학과,,혁신교수법: 액티브러닝,Post-Corona Era and Japanese Subculture,
243,전체학년,일반교양,사회,EGC3069-01,교과서밖의심리학,조은경,서울,월1.0-3.5/09:00-12:00,102-344(학술/문화관 K344 344 강의실),3,3,0,,더블클릭,더블클릭,이론,일반강의, 대학간공동과목,,,일교,,경찰사법대학,경찰사법대학 경찰행정학부,,"공동대학 개발교과목,실시간 비대면",Psychology: Views Outside the Box,
244,전체학년,일반교양,사회,EGC3070-01,여행지리와도시산책,양병윤,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","501-409(학림관 J413 강의실),501-409(학림관 J413 강의실)",3,3,0,,더블클릭,,이론,일반강의,,,,일교,,사범대학,사범대학 지리교육과,,혁신교수법-PBL,City Walks and Tourism Geography,
245,전체학년,일반교양,사회,EGC3071-01,"한일관계의과거,현재그리고미래",김태진,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","201-214(사회과학/경영관 M211 강의실),201-214(사회과학/경영관 M211 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의, 엑티브러닝,,,일교,,문과대학,문과대학 일본학과,,,"The Past, Present and Future of Korea-Japan Relations",
246,전체학년,일반교양,사회,EGC3072-01,디지털시대의노동인류학,김승연,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","102-357(학술/문화관 K357 357 강의실),102-357(학술/문화관 K357 357 강의실)",3,3,0,,더블클릭,,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,Anthropology of Work in Digital Age,
247,전체학년,일반교양,사회,EGC3073-01,에너지산업과시장읽기,김유원,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","202-571(사회과학/경영관 L501 강의실),202-571(사회과학/경영관 L501 강의실)",3,3,0,,더블클릭,더블클릭,이론,일반강의,,,,일교,,행정및부속기관,다르마칼리지,,,Understanding Energy Industry and Market,
248,전체학년,일반교양,사회,EGC7026-01,기술창조와특허,오승택,서울,화1.0-3.5/09:00-12:00,"405-450(원흥관 1,3 E450 강의실)",3,1.5,1.5, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,일교,,공과대학,공과대학 공과대,,,Technology Invention and Patent,
249,전체학년,일반교양,사회,EGC7026-02,기술창조와특허,오승택,서울,화8.0-10.5/16:00-18:50,"405-450(원흥관 1,3 E450 강의실)",3,1.5,1.5, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,일교,,공과대학,공과대학 공과대,,,Technology Invention and Patent,
250,전체학년,일반교양,사회,EGC7026-03,기술창조와특허,이용태,서울,수6.5-9.0/14:30-17:30,407-B122(정보문화관P P205 강의실),3,1.5,1.5, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,일교,,공과대학,공과대학 공과대,,,Technology Invention and Patent,
251,전체학년,일반교양,사회,EGC7026-04,기술창조와특허,이용태,서울,목6.5-9.0/14:30-17:30,501-250(학림관 J211 강의실_스마트),3,1.5,1.5, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,일교,,공과대학,공과대학 공과대,,,Technology Invention and Patent,
252,전체학년,일반교양,사회,EGC7026-05,기술창조와특허,임중연,서울,월10.0-12.5/18:00-20:30,"405-127(원흥관 1,3 E127 강의실)",3,1.5,1.5, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,일교,,공과대학,공과대학 공과대,,팀티칭,Technology Invention and Patent,
253,전체학년,일반교양,사회,EGC7026-06,기술창조와특허,김효성,서울,금10.0-12.5/18:00-20:30,"405-127(원흥관 1,3 E127 강의실)",3,1.5,1.5, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,일교,,공과대학,공과대학 공과대,,,Technology Invention and Patent,
254,전체학년,일반교양,사회,EGC7026-07,기술창조와특허,백성호,서울,목7.0-9.5/15:00-18:00,"405-450(원흥관 1,3 E450 강의실)",3,1.5,1.5, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,일교,,공과대학,공과대학 공과대,,,Technology Invention and Patent,
255,전체학년,일반교양,사회,EGC9016-01,유라시아지역의정보기술의활용,김인재,서울,화9.5-11.0/17:30-19:15,202-385(사회과학/경영관 L304 강의실_스마트),2,2,0,,더블클릭,,이론,일반강의,,,,일교,,경영대학,경영대학 경영정보학과,,,Utilization of Information Technology in Eurasian Area,
