번호,학년/가진급학년,교과과정,교과영역구분,학수강좌번호,교과목명,교원명,수업캠퍼스,요일/시간,강의실,학점,이론,실습,공학설계,강의계획서,교과목해설,강의유형,강의종류,혁신교과목구분,원어강의,강평결과,이수구분,강의미리보기,개설대학,개설학과/전공,집중이수학기구분,비고,교과목영문명,
1,"1,2학년",학문기초,제4영역:자연과학,PRI4001-01,미적분학및연습1,송윤애,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","501-142(학림관 J104 강의실),501-142(학림관 J104 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,"공과대(인문)전용, 기초수학(01분반)강좌와 동시수강",Calculus1,
2,"1,2학년",학문기초,제4영역:자연과학,PRI4001-02,미적분학및연습1,임영빈,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
3,"1,2학년",학문기초,제4영역:자연과학,PRI4001-03,미적분학및연습1,엄건애,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","102-356(학술/문화관 K356 356 강의실),102-356(학술/문화관 K356 356 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
4,"1,2학년",학문기초,제4영역:자연과학,PRI4001-04,미적분학및연습1,심호진,서울,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
5,"1,2학년",학문기초,제4영역:자연과학,PRI4001-05,미적분학및연습1,박장희,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","501-231(학림관 J201 강의실),501-231(학림관 J201 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
6,"1,2학년",학문기초,제4영역:자연과학,PRI4001-06,미적분학및연습1,최광호,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","501-304(학림관 J311 강의실),501-304(학림관 J311 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
7,"1,2학년",학문기초,제4영역:자연과학,PRI4001-07,미적분학및연습1,조영덕,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
8,"1,2학년",학문기초,제4영역:자연과학,PRI4001-08,미적분학및연습1,박호,서울,"화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30","407-B122(정보문화관P P205 강의실),407-B122(정보문화관P P205 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
9,"1,2학년",학문기초,제4영역:자연과학,PRI4001-09,미적분학및연습1,임영빈,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
10,"1,2학년",학문기초,제4영역:자연과학,PRI4001-10,미적분학및연습1,송윤애,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","501-231(학림관 J201 강의실),501-231(학림관 J201 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
11,"1,2학년",학문기초,제4영역:자연과학,PRI4001-11,미적분학및연습1,조영덕,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","102-352(학술/문화관 K352 352 강의실),102-352(학술/문화관 K352 352 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
12,"1,2학년",학문기초,제4영역:자연과학,PRI4001-12,미적분학및연습1,엄건애,서울,"수4.5-5.5/12:30-14:00,금4.0-5.0/12:00-13:30","407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
13,"1,2학년",학문기초,제4영역:자연과학,PRI4001-13,미적분학및연습1,오승익,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","407-109(정보문화관P P304 강의실),407-109(정보문화관P P304 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
14,"1,2학년",학문기초,제4영역:자연과학,PRI4001-14,미적분학및연습1,박정준,서울,목10.0-12.5/18:00-20:30,407-B101(정보문화관P P201 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
15,"1,2학년",학문기초,제4영역:자연과학,PRI4001-15,미적분학및연습1,박호,서울,월10.0-12.5/18:00-20:30,408-321(정보문화관Q Q301 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
16,"1,2학년",학문기초,제4영역:자연과학,PRI4001-16,미적분학및연습1,박정준,서울,화10.0-12.5/18:00-20:30,501-304(학림관 J311 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
17,"1,2학년",학문기초,제4영역:자연과학,PRI4001-17,미적분학및연습1,김동호,일산,화8.0-10.5/16:00-18:50,1102-218(종합강의동 218 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,BMC개설,Calculus1,
18,"1,2학년",학문기초,제4영역:자연과학,PRI4001-18,미적분학및연습1,박장희,일산,수1.0-3.5/09:00-12:00,1102-218(종합강의동 218 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,BMC개설,Calculus1,
19,"1,2학년",학문기초,제4영역:자연과학,PRI4001-19,미적분학및연습1,김동호,일산,목8.0-10.5/16:00-18:50,1102-218(종합강의동 218 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,BMC개설,Calculus1,
20,"1,2학년",학문기초,제4영역:자연과학,PRI4001-20,미적분학및연습1,오승익,서울,수10.0-12.5/18:00-20:30,102-342(학술/문화관 K342 342 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
21,"1,2학년",학문기초,제4영역:자연과학,PRI4001-21,미적분학및연습1,박상웅,서울,월10.0-12.5/18:00-20:30,407-B105(정보문화관P P202 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
22,"1,2학년",학문기초,제4영역:자연과학,PRI4001-22,미적분학및연습1,박정준,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00","501-304(학림관 J311 강의실),501-304(학림관 J311 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
23,"1,2학년",학문기초,제4영역:자연과학,PRI4001-23,미적분학및연습1,박상웅,서울,수10.0-12.5/18:00-20:30,408-321(정보문화관Q Q301 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
24,"1,2학년",학문기초,제4영역:자연과학,PRI4001-24,미적분학및연습1,박장희,서울,금10.0-12.5/18:00-20:30,407-B122(정보문화관P P205 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,,Calculus1,
25,"1,2학년",학문기초,제4영역:자연과학,PRI4002-01,일반물리학및실험1,정권범,서울,"월1.0-2.5/09:00-11:00,월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","308-325(과학관  일반물리학실험실A),308-305(과학관 D305 강의실),308-305(과학관 D305 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,"물리반도체과학부 신입생 일괄수강신청예정, 수강인원: 25명 제한(마지막 학기생에 한하여 특별수강신청허가요청서 제출 가능. 2~3명)",General Physics and Experiments I,
26,"1,2학년",학문기초,제4영역:자연과학,PRI4002-02,일반물리학및실험1,양우철,서울,"월4.0-5.0/12:00-13:30,수1.0-2.5/09:00-11:00,수3.0-4.0/11:00-12:30","308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A),308-303(과학관 D303 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,"물리반도체과학부 신입생 일괄수강신청예정, 수강인원: 25명 제한(마지막 학기생에 한하여 특별수강신청허가요청서 제출 가능. 2~3명)",General Physics and Experiments I,
27,"1,2학년",학문기초,제4영역:자연과학,PRI4002-03,일반물리학및실험1,류영선,서울,"수10.0-12.5/18:00-20:30,수13.0-14.5/20:40-22:20","308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,,General Physics and Experiments I,
28,"1,2학년",학문기초,제4영역:자연과학,PRI4002-04,일반물리학및실험1,손정인,서울,"월8.5-9.5/16:30-18:00,수6.0-7.0/14:00-15:30,목5.0-6.5/13:00-15:00","308-303(과학관 D303 강의실),308-305(과학관 D305 강의실),308-325(과학관  일반물리학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,공과대학 일괄수강신청예정,General Physics and Experiments I,
29,"1,2학년",학문기초,제4영역:자연과학,PRI4002-05,일반물리학및실험1,김선배,서울,"화4.0-5.0/12:00-13:30,화6.0-7.5/14:00-16:00,목4.0-5.0/12:00-13:30","501-409(학림관 J413 강의실),308-325(과학관  일반물리학실험실A),501-409(학림관 J413 강의실)",4,3,2, 0.0,,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,공과대학 일괄수강신청예정,General Physics and Experiments I,
30,"1,2학년",학문기초,제4영역:자연과학,PRI4002-06,일반물리학및실험1,김순구,서울,"화4.0-5.5/12:00-14:00,화6.0-7.0/14:00-15:30,목4.0-5.0/12:00-13:30","308-325(과학관  일반물리학실험실A),407-B105(정보문화관P P202 강의실),407-B105(정보문화관P P202 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,,General Physics and Experiments I,
31,"1,2학년",학문기초,제4영역:자연과학,PRI4002-07,일반물리학및실험1,이동화,서울,"화6.0-7.0/14:00-15:30,목8.0-9.5/16:00-18:00,금6.0-7.0/14:00-15:30","408-329(정보문화관Q Q302 강의실),308-325(과학관  일반물리학실험실A),408-329(정보문화관Q Q302 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,팀티칭,,,,학기,,이과대학,이과대학 물리반도체과학부,,팀티칭,General Physics and Experiments I,
32,"1,2학년",학문기초,제4영역:자연과학,PRI4002-08,일반물리학및실험1,이원철,서울,"화8.0-9.0/16:00-17:30,목1.0-2.5/09:00-11:00,금8.5-9.5/16:30-18:00","407-B108(정보문화관P P203 강의실),308-325(과학관  일반물리학실험실A),407-B108(정보문화관P P203 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,공과대학 일괄수강신청예정,General Physics and Experiments I,
33,"1,2학년",학문기초,제4영역:자연과학,PRI4002-09,일반물리학및실험1,이동화,서울,"화8.0-9.0/16:00-17:30,목8.5-9.5/16:30-18:00,금1.0-2.5/09:00-11:00","102-219(학술/문화관 K219 219 강의실),102-219(학술/문화관 K219 219 강의실),308-325(과학관  일반물리학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,공과대학 일괄수강신청예정,General Physics and Experiments I,
34,"1,2학년",학문기초,제4영역:자연과학,PRI4002-10,일반물리학및실험1,오형택,서울,"수4.5-5.5/12:30-14:00,수8.0-9.5/16:00-18:00,금4.0-5.0/12:00-13:30","408-321(정보문화관Q Q301 강의실),308-325(과학관  일반물리학실험실A),408-321(정보문화관Q Q301 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,공과대학 일괄수강신청예정,General Physics and Experiments I,
35,"1,2학년",학문기초,제4영역:자연과학,PRI4002-11,일반물리학및실험1,곽동욱,서울,"월10.0-12.5/18:00-20:30,월13.0-14.5/20:40-22:20","407-B122(정보문화관P P205 강의실),308-325(과학관  일반물리학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,,General Physics and Experiments I,
36,"1,2학년",학문기초,제4영역:자연과학,PRI4002-12,일반물리학및실험1,권상우,서울,"화10.0-12.5/18:00-20:30,화13.0-14.5/20:40-22:20","407-B122(정보문화관P P205 강의실),308-325(과학관  일반물리학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 물리반도체과학부,,,General Physics and Experiments I,
37,"1,2학년",학문기초,제4영역:자연과학,PRI4002-13,일반물리학및실험1,김선배,서울,"목10.0-12.5/18:00-20:30,목13.0-14.5/20:40-22:20","308-303(과학관 D303 강의실),308-325(과학관  일반물리학실험실A)",4,3,2, 0.0,,더블클릭,이론+실습,팀티칭,,,,학기,,이과대학,이과대학 물리반도체과학부,,팀티칭,General Physics and Experiments I,
38,"1,2학년",학문기초,제4영역:자연과학,PRI4003-01,일반화학및실험1,윤성욱,서울,"월2.0-3.0/10:00-11:30,수5.0-6.0/13:00-14:30,수6.5-8.0/14:30-16:30","201-111(사회과학/경영관 M111 강의실),201-111(사회과학/경영관 M111 강의실),308-407(과학관  일반화학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,수강인원 40명,General Chemistry and Experiments I,
39,"1,2학년",학문기초,제4영역:자연과학,PRI4003-02,일반화학및실험1,김갑수,서울,"화4.0-5.0/12:00-13:30,목2.0-3.5/10:00-12:00,목4.0-5.0/12:00-13:30","407-203(정보문화관P P401 강의실_스마트),308-407(과학관  일반화학실험실A),407-203(정보문화관P P401 강의실_스마트)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,수강인원 40명,General Chemistry and Experiments I,
40,"1,2학년",학문기초,제4영역:자연과학,PRI4003-03,일반화학및실험1,유미경,서울,"수4.5-5.5/12:30-14:00,금2.0-3.5/10:00-12:00,금4.0-5.0/12:00-13:30","102-443(학술/문화관 K443 443 강의실),308-407(과학관  일반화학실험실A),102-443(학술/문화관 K443 443 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,수강인원 40명,General Chemistry and Experiments I,
41,"1,2학년",학문기초,제4영역:자연과학,PRI4003-04,일반화학및실험1,조현진,서울,"수8.0-9.0/16:00-17:30,금4.0-5.5/12:00-14:00,금8.0-9.0/16:00-17:30","102-361(학술/문화관 K361 361 강의실),308-407(과학관  일반화학실험실A),102-361(학술/문화관 K361 361 강의실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,수강인원 40명,General Chemistry and Experiments I,
42,"1,2학년",학문기초,제4영역:자연과학,PRI4003-05,일반화학및실험1,김갑수,서울,"화5.5-6.5/13:30-15:00,목5.5-6.5/13:30-15:00,목7.0-8.5/15:00-17:00","407-203(정보문화관P P401 강의실_스마트),407-203(정보문화관P P401 강의실_스마트),308-407(과학관  일반화학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,수강인원 40명,General Chemistry and Experiments I,
43,"1,2학년",학문기초,제4영역:자연과학,PRI4003-06,일반화학및실험1,김갑수,서울,"화8.0-9.5/16:00-18:00,화10.0-12.5/18:00-20:30","308-407(과학관  일반화학실험실A),407-203(정보문화관P P401 강의실_스마트)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,수강인원 40명,General Chemistry and Experiments I,
44,"1,2학년",학문기초,제4영역:자연과학,PRI4003-07,일반화학및실험1,박봉서,서울,"목7.0-9.5/15:00-18:00,목10.0-11.5/18:00-19:40","307-350(명진관 A350 강의실_스마트),308-407(과학관  일반화학실험실A)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,수강인원 40명,General Chemistry and Experiments I,
45,"1,2학년",학문기초,제4영역:자연과학,PRI4003-08,일반화학및실험1,이길선,일산,"목7.0-9.5/15:00-18:00,금2.0-3.5/10:00-12:00","1104-230(상영바이오관 230 허담 강의실),1104-266(상영바이오관 266 학부 공용실습실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,BMC개설,General Chemistry and Experiments I,
46,"1,2학년",학문기초,제4영역:자연과학,PRI4003-09,일반화학및실험1,조대행,일산,"목7.0-9.5/15:00-18:00,금7.0-8.5/15:00-17:00","1104-227(상영바이오관 227 강의실_스마트),1104-266(상영바이오관 266 학부 공용실습실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,BMC개설,General Chemistry and Experiments I,
47,"1,2학년",학문기초,제4영역:자연과학,PRI4003-10,일반화학및실험1,임재희,일산,"수6.0-8.5/14:00-17:00,금5.0-6.5/13:00-15:00","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실)",4,3,2, 0.0,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 화학과,,BMC개설,General Chemistry and Experiments I,
48,"1,2학년",학문기초,제4영역:자연과학,PRI4004-01,일반생물학및실험1,정상민,서울,"화6.0-7.5/14:00-16:00,목8.5-10.0/16:30-18:25","201-111(사회과학/경영관 M111 강의실),401-2158(신공학관(기숙사) 2158 일반생물학실험실)",3,2,2, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,General Biology and Experiments I,
49,"1,2학년",학문기초,제4영역:자연과학,PRI4004-02,일반생물학및실험1,조선희,서울,"화8.0-9.5/16:00-18:00,금6.0-7.5/14:00-16:00","201-111(사회과학/경영관 M111 강의실),401-2158(신공학관(기숙사) 2158 일반생물학실험실)",3,2,2, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,General Biology and Experiments I,
50,"1,2학년",학문기초,제4영역:자연과학,PRI4004-03,일반생물학및실험1,이보영,서울,"화1.0-2.5/09:00-11:00,목6.5-8.0/14:30-16:30","201-111(사회과학/경영관 M111 강의실),401-2158(신공학관(기숙사) 2158 일반생물학실험실)",3,2,2, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,General Biology and Experiments I,
51,"1,2학년",학문기초,제4영역:자연과학,PRI4004-04,일반생물학및실험1,정상민,서울,"월10.0-11.5/18:00-19:40,월12.0-13.5/19:40-21:30","407-B127(정보문화관P P207 강의실),401-2158(신공학관(기숙사) 2158 일반생물학실험실)",3,2,2, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,,General Biology and Experiments I,
52,"1,2학년",학문기초,제4영역:자연과학,PRI4004-05,일반생물학및실험1,김병혁,일산,"화6.0-7.5/14:00-16:00,화8.0-9.5/16:00-18:00","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실)",3,2,2, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설,24명 제한",General Biology and Experiments I,
53,"1,2학년",학문기초,제4영역:자연과학,PRI4004-06,일반생물학및실험1,이민호,일산,"월6.0-7.5/14:00-16:00,월8.0-9.5/16:00-18:00","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실)",3,2,2, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설,24명 제한",General Biology and Experiments I,
54,"1,2학년",학문기초,제4영역:자연과학,PRI4004-07,일반생물학및실험1,김경희,일산,"월2.0-3.5/10:00-12:00,월5.0-6.5/13:00-15:00","1104-266(상영바이오관 266 학부 공용실습실),1102-132(종합강의동 132 세미나실1)",3,2,2, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설,35명 제한, 약학과 권장",General Biology and Experiments I,
55,"1,2학년",학문기초,제4영역:자연과학,PRI4005-01,일반통계학및실습1,정선,서울,"화6.0-7.5/14:00-16:00,수6.0-7.5/14:00-16:00","307-333(명진관 A333 강의실),102-211(학술/문화관 K211 (K) 공용컴퓨터실)",3,2,2,,더블클릭,더블클릭,이론+실습,일반강의,,,,학기,,이과대학,이과대학 통계학과 ,,,General Statistics and Experiments I,
56,"1,2학년",학문기초,제4영역:자연과학,PRI4010-01,대학생물학및실험1,이병무,일산,"월5.0-6.5/13:00-15:00,화2.5-3.5/10:30-12:00,목2.5-3.5/10:30-12:00","1104-266(상영바이오관 266 학부 공용실습실),1102-132(종합강의동 132 세미나실1),1102-132(종합강의동 132 세미나실1)",4,3,2,,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설, 생명과학과 권장",University Biology and Lab 1,
57,"1,2학년",학문기초,제4영역:자연과학,PRI4010-02,대학생물학및실험1,양봉숙,일산,"화1.0-2.0/09:00-10:30,수6.0-7.5/14:00-16:00,목1.0-2.0/09:00-10:30","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실),1104-845(상영바이오관 845 세미나실1(고양캠퍼스))",4,3,2,,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설 팀티칭,바이오환경과학과 권장",University Biology and Lab 1,
58,"1,2학년",학문기초,제4영역:자연과학,PRI4010-03,대학생물학및실험1,양봉숙,일산,"화2.5-3.5/10:30-12:00,수8.0-9.5/16:00-18:00,목2.5-3.5/10:30-12:00","1104-845(상영바이오관 845 세미나실1(고양캠퍼스)),1104-266(상영바이오관 266 학부 공용실습실),1104-845(상영바이오관 845 세미나실1(고양캠퍼스))",4,3,2,,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설 팀티칭, 바이오환경과학과 권장",University Biology and Lab 1,
59,"1,2학년",학문기초,제4영역:자연과학,PRI4010-04,대학생물학및실험1,서태근,일산,"화1.0-2.0/09:00-10:30,목1.0-2.0/09:00-10:30,목8.0-9.5/16:00-18:00","1102-132(종합강의동 132 세미나실1),1102-132(종합강의동 132 세미나실1),1104-266(상영바이오관 266 학부 공용실습실)",4,3,2,,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설, 생명과학과 권장",University Biology and Lab 1,
60,"1,2학년",학문기초,제4영역:자연과학,PRI4010-05,대학생물학및실험1,방석영,일산,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30,목6.0-7.5/14:00-16:00","1104-213(상영바이오관 213 강의실),1104-213(상영바이오관 213 강의실),1104-266(상영바이오관 266 학부 공용실습실)",4,3,2,,더블클릭,더블클릭,이론,일반강의,,,,학기,,바이오시스템대학,바이오시스템대학 생명과학과 ,,"BMC개설, 의생명공학과 권장",University Biology and Lab 1,
61,"1,2학년",학문기초,제4영역:자연과학,PRI4011-01,대학통계학및실습1,주용성,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30,금4.0-5.5/12:00-14:00","102-211(학술/문화관 K211 (K) 공용컴퓨터실),102-211(학술/문화관 K211 (K) 공용컴퓨터실),102-211(학술/문화관 K211 (K) 공용컴퓨터실)",4,3,2,,더블클릭,더블클릭,이론+실습,팀티칭,,,,학기,,이과대학,이과대학 통계학과 ,,"팀티칭, 통계학과 신입생 우선 배정",University Statistics and Experiments 1,
62,"1,2학년",학문기초,제4영역:자연과학,PRI4011-02,대학통계학및실습1,이선우,서울,"월5.5-6.5/13:30-15:00,수4.5-5.5/12:30-14:00,금6.0-7.5/14:00-16:00","102-211(학술/문화관 K211 (K) 공용컴퓨터실),102-211(학술/문화관 K211 (K) 공용컴퓨터실),102-211(학술/문화관 K211 (K) 공용컴퓨터실)",4,3,2,,더블클릭,더블클릭,이론+실습,팀티칭,,,,학기,,이과대학,이과대학 통계학과 ,,팀티칭,University Statistics and Experiments 1,
63,"1,2학년",학문기초,제4영역:자연과학,PRI4012-01,미적분학및연습2,엄건애,서울,"화6.0-7.0/14:00-15:30,금6.0-7.0/14:00-15:30","407-B101(정보문화관P P201 강의실),407-B101(정보문화관P P201 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,미적분학및연습1 미이수자 비수강 권장,Calculus2,
64,"1,2학년",학문기초,제4영역:자연과학,PRI4012-02,미적분학및연습2,심호진,서울,수8.0-10.5/16:00-18:50,102-352(학술/문화관 K352 352 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 수학과,,미적분학및연습1 미이수자 비수강 권장,Calculus2,
65,"1,2학년",학문기초,제4영역:자연과학,PRI4023-01,확률및통계학,김희경,서울,"월4.0-5.0/12:00-13:30,수3.0-4.0/11:00-12:30","501-413(학림관 J414 강의실),501-413(학림관 J414 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 통계학과 ,,,Probability and Statistics,
66,"1,2학년",학문기초,제4영역:자연과학,PRI4023-02,확률및통계학,정선,서울,"화4.0-5.0/12:00-13:30,목4.0-5.0/12:00-13:30","207-315(혜화관 315 315 강의실),207-315(혜화관 315 315 강의실)",3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 통계학과 ,,,Probability and Statistics,
67,"1,2학년",학문기초,제4영역:자연과학,PRI4023-03,확률및통계학,곽화륜,서울,월10.0-12.5/18:00-20:30,307-321(명진관 A321 강의실),3,3,0, 0.0,더블클릭,더블클릭,이론,일반강의,,,,학기,,이과대학,이과대학 통계학과 ,,,Probability and Statistics,
